clave,descripcion,unidad,precio,fuente,fecha,estado
IMPERFEST-E,Fester Imperfest E impermeabilizante asfáltico base agua (cubeta 19 L),l,64.20,"Cubeta 19 L $1,415.69 con IVA (Limsa, https://www.limsa.mx/producto/30fesimperf19e/imperfest-e-cubeta-19-lt) → $1,220 sin IVA / 19 L",2026-09,validado con rango de mercado
POLIET-800,Película de polietileno negro calibre 800 (rollo),m2,15.60,"Escala por espesor sobre POLIET-600 ($11.70/m², hydroenv): 11.70 × 800/600; plasticonegro.mx y Mercado Libre listan el rollo sin precio visible",2026-09,referencia
LAVADERO-CONC,Lavadero de concreto con pileta 65-70 x 50-65 cm,pza,750.00,Claro Shop / Home Depot 65x50 cm $937 con IVA ($808 sin IVA) (https://www.homedepot.com.mx/p/lavadero-de-concreto-con-pileta-65x50-cm-911818); CostoNet 71x65 cm $684.53 sin IVA (https://www.costonet.com.mx/precio/SANMUE10950). Se toma $750,2026-09,validado con rango de mercado
PLACA-A36,Placa de acero A-36 (3/16 a 1/2 in) cortada a medida,kg,25.00,QuimiNet: acero A36 $13.90-23/kg en mayoreo (https://www.quiminet.com/productos/acero-a36-36248280036/precios.htm); menudeo y placa cortada a medida en distribuidor $27-32/kg con IVA (Proyecto Ferretero precio por kilo). Se toma $25/kg sin IVA puesto en taller,2026-09,validado con rango de mercado
ANG-ACERO,Ángulo de acero A-36 lados iguales (1 1/4 a 3 in x 1/4 in),kg,25.00,"Tramo 6 m de ángulo 3x1/4 (43.7 kg) en Construmole / Tool Ferreterías (precio por kg, https://www.toolferreterias.com/products/angulo-de-1-4-x-3-grupo-collado); rango de perfiles comerciales 2026 $26-32/kg con IVA → se toma $25/kg sin IVA",2026-09,referencia
PTR-ACERO,Perfil tubular PTR A-500 (3x3 in cal. 4 mm y similares),kg,27.00,Aceroplaza PTR negro desde $126.93 por tramo en medidas chicas (https://aceroplaza.com/products/ptr-negro); PTR por kg ≈10 % arriba del ángulo por el proceso de formado; se toma $27/kg sin IVA. Sin cotización directa de la medida,2026-09,referencia
PRIMARIO-ANTIC,Primario anticorrosivo alquidálico tipo Comex 100 (cubeta 19 L),l,190.00,"Comex 100 primario 19 L: $3,899 con IVA en Mercado Libre; Acqua 100 primario $4,395 en tienda Comex (https://www.comex.com.mx/esmaltes/comex-100-primario-secado-extra-rapido-19-litros) → $3,360-3,790 sin IVA; se toma $3,610/cubeta ≈ $190/L",2026-09,validado con rango de mercado
DISCO-CORTE,Disco abrasivo de corte/desbaste 4 1/2 in para metal,pza,30.00,Disco de corte 4 1/2 in Austromex/Truper $28-45 con IVA en ferreterías; estimación sin cotización directa,2026-09,referencia
TAQ-EXP-38x5,Taquete de expansión (ancla) de acero 3/8 x 5 in con tuerca y rondana,pza,18.00,Ancla de expansión 3/8 x 5 in $15-28 con IVA por pieza en ferreterías (Fiero/Truper/Hilti genérico); estimación sin cotización directa,2026-09,referencia
TRIPLAY-PINO-16,Triplay de pino 16 mm hoja 1.22 x 2.44 m para cimbra aparente,pza,560.00,"Triplay de pino importado 16 mm listado en Construrama/Construenvío y CostoNet (MADCON00510, https://www.costonet.com.mx/precio/MADCON00510) sin precio visible en la consulta; rango de mercado $600-700 con IVA → se toma $560 sin IVA",2026-09,referencia
SONOTUBO-30,Cimbra de cartón (sonotubo) 30 cm de diámetro,m,117.00,Tool Ferreterías sonotubo 30 cm × 3 m $407.37 con IVA (https://www.toolferreterias.com/products/sonotubo-30-cm) → $351 sin IVA / 3 m = $117/m (mismo dato que la familia SONOTUBO del lote 2c),2026-09,validado con rango de mercado
SONOTUBO-40,Cimbra de cartón (sonotubo) 40 cm de diámetro,m,160.00,Tool Ferreterías sonotubo 40 cm × 3 m $558.34 con IVA (https://www.toolferreterias.com/products/sonotubo-40-cm) → $481 sin IVA / 3 m = $160/m; Ingeniería Servirent $856.72 con IVA ($246/m sin IVA) como tope del rango,2026-09,validado con rango de mercado
TABICON-10-14-28,Tabicón pesado de concreto 10x14x28 cm,pza,5.20,Construrama/Construenvío/Vibromex listan el tabicón pesado 10x14x28 (https://www.construrama.com/catalogo/materiales-de-construccion/block-y-derivados/block/tabicon-pesado-10x14x28-pieza/p/0301020150) sin precio visible; rango de mercado $5.50-7.00 con IVA por pieza → se toma $5.20 sin IVA,2026-09,referencia
PANEL-COVINTEC-3,Panel Covintec ST 3 in 1.22 x 2.44 m (2.977 m²),pza,480.00,"Listado en CostoNet (PANPAN00605), Plafones MG y Panel Tek (https://www.costonet.com.mx/precio/PANPAN00605) sin precio visible en la consulta; rango de mercado $520-600 con IVA → se toma $480 sin IVA",2026-09,referencia
MALLA-UNION-COV,Malla de refuerzo para uniones y esquinas de panel Covintec (tira 0.30 m),m,18.00,Malla zig-zag/esquinero de alambre galvanizado cal. 14 para panel; estimación sin cotización directa,2026-09,referencia
CLAVO-CONC,Clavo para concreto 2 in (fijación de metal desplegado),kg,60.00,Clavo para concreto a granel $60-80/kg con IVA en ferreterías; estimación,2026-09,referencia
